JuegoNorm,MediaViewers,PicoViewers,HorasVistas,PremiosUSD,Torneos
just chatting,251760.79365079364,2787896,14397469625,0.0,0.0
lol,147528.20679012345,3145012,11296781271,86676191.28999999,1297.0
valorant,117624.56666666668,1728977,4631862775,32018215.369999997,1316.0
grand theft auto v,99826.03086419753,1140656,7482026514,0.0,0.0
fortnite,92210.13541666667,3291525,6224642826,191012698.69,2293.0
counter-strike,74317.81746031746,1548040,876395705,0.0,0.0
csgo,68367.28958333333,1916027,4315553263,152845326.9,5794.0
dota2,58927.41975308642,1636441,4503767707,304658018.46,1323.0
call of duty: warzone,56547.46388888889,1629284,2764017645,12904809.95,406.0
apex legends,52917.95749158249,666868,2655211457,26153237.01,731.0
